publication_year,count
1900,15992
1901,17506
1902,18075
1903,16555
1904,19318
1905,18486
1906,17675
1907,19508
1908,20847
1909,21701
1910,20781
1911,20504
1912,22688
1913,22626
1914,21190
1915,19116
1916,19572
1917,18263
1918,16499
1919,18542
1920,22950
1921,25381
1922,25820
1923,30063
1924,31752
1925,32281
1926,32626
1927,35654
1928,38993
1929,39189
1930,42998
1931,42070
1932,43441
1933,43710
1934,44400
1935,44603
1936,46915
1937,46080
1938,46870
1939,45474
1940,41076
1941,41008
1942,37780
1943,35140
1944,32113
1945,51220
1946,61664
1947,72751
1948,81803
1949,90748
1950,97529
1951,102475
1952,106673
1953,108515
1954,113949
1955,100346
1956,115701
1957,122848
1958,133942
1959,137330
1960,152292
1961,179267
1962,188095
1963,196076
1964,221301
1965,288757
1966,327170
1967,349344
1968,364852
1969,399389
1970,405732
1971,420098
1972,448574
1973,459029
1974,495355
1975,566369
1976,606671
1977,683756
1978,703922
1979,728884
1980,749438
1981,775628
1982,810977
1983,875164
1984,893748
1985,893634
1986,909509
1987,922785
1988,917141
1989,927498
1990,1006482
1991,1046164
1992,1060618
1993,1103128
1994,1161134
1995,1211852
1996,1272268
1997,1303512
1998,1315080
1999,1303659
2000,1347900
2001,1326648
2002,1373099
2003,1437996
2004,1533857
2005,1654987
2006,1742957
2007,1890170
2008,2009090
2009,2132149
2010,2156597
2011,2247030
2012,2349387
2013,2433715
2014,2451871
2015,2202207
2016,2894713
2017,2382296
2018,65255
