publication_year,pub_count,pub_with_an_address_count
1913,22626,2408
1970,405732,44963
2000,1347900,1159131
1975,566369,459791
1962,188095,6
1947,72751,1567
1980,749438,263771
1981,775628,276680
1931,42070,8611
2013,2433715,2241769
1972,448574,82583
1956,115701,122
2007,1890170,1675074
1902,18075,1951
1948,81803,1904
1984,893748,352308
1961,179267,0
1957,122848,96
1914,21190,2490
2002,1373099,1192143
1925,32281,6036
1992,1060618,421287
1916,19572,2730
2008,2009090,1788085
1958,133942,87
1971,420098,38577
1985,893634,365538
1988,917141,384675
1926,32626,6162
1963,196076,1
1929,39189,7628
1928,38993,7447
2003,1437996,1266178
1951,102475,2372
1930,42998,8857
1999,1303659,1108381
1996,1272268,640592
1968,364852,33108
1946,61664,1550
1905,18486,1484
2005,1654987,1439615
1903,16555,1312
1954,113949,2603
1924,31752,5459
2004,1533857,1358076
1938,46870,12347
1908,20847,1845
1966,327170,29645
1942,37780,12207
1912,22688,2435
1995,1211852,636657
1973,459029,394340
1927,35654,6957
1941,41008,13085
1917,18263,2875
2001,1326648,1147524
2014,2451871,2275224
1997,1303512,714961
1994,1161134,598299
2016,2894713,2662761
1987,922785,397377
1960,152292,242
1978,703922,253595
2018,65255,62989
2006,1742957,1536028
1906,17675,1575
1993,1103128,518966
1921,25381,3758
1964,221301,10
1943,35140,10840
1937,46080,11839
1986,909509,382758
1901,17506,1879
1953,108515,2454
1976,606671,484101
1959,137330,104
1910,20781,2291
1989,927498,337964
2012,2349387,2153560
2011,2247030,2037047
1955,100346,3028
1979,728884,255531
1939,45474,13066
1991,1046164,383562
2017,2382296,2041602
1919,18542,2999
1911,20504,2259
1969,399389,34543
2015,2202207,2016477
2010,2156597,1946154
1967,349344,32712
1932,43441,9005
1933,43710,9469
1922,25820,4397
1934,44400,10232
1900,15992,2553
1936,46915,11569
1950,97529,2386
1945,51220,1561
1983,875164,334049
1904,19318,1467
1940,41076,12585
1982,810977,298245
1920,22950,3421
1952,106673,2526
1923,30063,4975
2009,2132149,1904402
1998,1315080,1123003
1974,495355,423071
1909,21701,2101
1990,1006482,364608
1949,90748,2368
1915,19116,2690
1918,16499,2440
1977,683756,509630
1965,288757,203
1907,19508,1931
1935,44603,10840
1944,32113,9276
